34564,2021-10-03T19:18:29+0000;0444,T6650,Ha6ac;0445,T66cd,Ha488;0544,T6986,H8d44;0545,T6d81,H84b8;0644,T6b85,H8e6c;0645,T684a,H9e36;0744,T6659,H9873;0745,T65cc,Hab22
34582,2021-10-03T19:21:07+0000;0444,T6e97,H8d2f;0445,T6ed0,H8a12;0544,T6e86,H8204;0545,T72fc,H7762;0644,T7158,H7fde;0645,T6e6d,H8cf4;0744,T6b75,H8c51;0745,T6bdf,H9a17
34583,2021-10-03T19:21:15+0000;0444,T6efe,H8bce;0445,T6f30,H88bf;0544,T6eda,H8116;0545,T7341,H76b0;0644,T71b2,H7edb;0645,T6eca,H8be0;0744,T6bbc,H8b76;0745,T6c2c,H98df
34584,2021-10-03T19:21:24+0000;0444,T6f4c,H8ac8;0445,T6f80,H87aa;0544,T6f25,H8067;0545,T738c,H760d;0644,T7208,H7df8;0645,T6f1a,H8ae2;0744,T6c12,H8aa8;0745,T6c85,H97ae
34585,2021-10-03T19:21:33+0000;0444,T6f9a,H89eb;0445,T6fd8,H86a8;0544,T6f78,H7f92;0545,T73da,H7567;0644,T7251,H7d1c;0645,T6f64,H8a07;0744,T6c62,H89bd;0745,T6cde,H9690
34586,2021-10-03T19:21:42+0000;0444,T6ff2,H88e6;0445,T7031,H8579;0544,T6fc9,H7eac;0545,T741b,H74af;0644,T729c,H7c5d;0645,T6fb2,H891f;0744,T6cae,H88ce;0745,T6d33,H952b
34587,2021-10-03T19:21:51+0000;0444,T703e,H87e6;0445,T707b,H846d;0544,T7011,H7de8;0545,T7459,H7426;0644,T72e6,H7b90;0645,T6ffc,H883f;0744,T6cfb,H87f1;0745,T6d85,H940a
34588,2021-10-03T19:21:59+0000;0444,T7093,H86a6;0445,T70cc,H8351;0544,T705b,H7cf4;0545,T7494,H737d;0644,T7333,H7aa5;0645,T704a,H871f;0744,T6d44,H8728;0745,T6dca,H9302
34589,2021-10-03T19:22:08+0000;0444,T70d9,H8575;0445,T7112,H823c;0544,T70a1,H7c09;0545,T74cc,H72de;0644,T7373,H79bd;0645,T708c,H861a;0744,T6d87,H85fe;0745,T6e11,H91cc
34590,2021-10-03T19:22:17+0000;0444,T7110,H8490;0445,T714f,H8150;0544,T70ea,H7b37;0545,T7500,H723d;0644,T73b3,H78fe;0645,T70cd,H8534;0744,T6dcd,H850c;0745,T6e5d,H90c5
34591,2021-10-03T19:22:26+0000;0444,T7167,H839b;0445,T71a5,H8043;0544,T7133,H7a4c;0545,T753c,H71a1;0644,T73f1,H783f;0645,T7112,H843d;0744,T6e0f,H8430;0745,T6eaa,H8fba
34592,2021-10-03T19:22:34+0000;0444,T71ab,H8280;0445,T71ec,H7f29;0544,T717c,H7966;0545,T7577,H70ef;0644,T742f,H7779;0645,T7150,H8350;0744,T6e4b,H8359;0745,T6ef1,H8e87
34593,2021-10-03T19:22:43+0000;0444,T71f3,H8178;0445,T7234,H7e1f;0544,T71bd,H7899;0545,T75af,H703e;0644,T7467,H76ae;0645,T7189,H8267;0744,T6e8f,H8267;0745,T6f34,H8d9b
34594,2021-10-03T19:22:52+0000;0444,T7238,H804e;0445,T7274,H7d07;0544,T71f9,H77bf;0545,T75e1,H6f74;0644,T749f,H75f0;0645,T71c5,H817b;0744,T6ecb,H8168;0745,T6f76,H8c71
34595,2021-10-03T19:23:01+0000;0444,T727e,H7f60;0445,T72bc,H7c16;0544,T7238,H76f6;0545,T7611,H6ee0;0644,T74d2,H7549;0645,T7201,H8098;0744,T6f08,H809b;0745,T6fb8,H8bad
34596,2021-10-03T19:23:09+0000;0444,T72ae,H7e6c;0445,T72f5,H7b03;0544,T7273,H75ed;0545,T7635,H6e47;0644,T7507,H7497;0645,T723c,H7fa6;0744,T6f3f,H7fa1;0745,T6fef,H8a85
34597,2021-10-03T19:23:18+0000;0444,T72e0,H7d8c;0445,T732a,H7a1b;0544,T72ad,H7537;0545,T765b,H6daf;0644,T753b,H73dc;0645,T7276,H7eb1;0744,T6f79,H7e95;0745,T702a,H8984
34598,2021-10-03T19:23:27+0000;0444,T7318,H7cdc;0445,T7360,H796c;0544,T72e7,H7472;0545,T767e,H6d54;0644,T756a,H7349;0645,T72af,H7df7;0744,T6fb5,H7dc3;0745,T705d,H88cb
34599,2021-10-03T19:23:36+0000;0444,T7347,H7c25;0445,T7398,H78a4;0544,T731a,H73ec;0545,T76a9,H6cdf;0644,T7593,H72c3;0645,T72e7,H7d21;0744,T6ff0,H7cca;0745,T7093,H87b5
34600,2021-10-03T19:23:44+0000;0444,T737b,H7b76;0445,T73cb,H77ec;0544,T734e,H7338;0545,T76ce,H6c5c;0644,T75be,H7230;0645,T7315,H7c50;0744,T7027,H7bd8;0745,T70c9,H86c9
34601,2021-10-03T19:23:53+0000;0444,T73b0,H7aad;0445,T73f6,H7733;0544,T7379,H72c7;0545,T76f0,H6bf1;0644,T75e6,H7177;0645,T7340,H7b99;0744,T705c,H7b02;0745,T70fe,H85c9
34602,2021-10-03T19:24:02+0000;0444,T73e2,H79f6;0445,T742b,H7693;0544,T73a9,H721b;0545,T7706,H6b89;0644,T760c,H7100;0645,T7375,H7b00;0744,T7096,H7a3c;0745,T713a,H8503
34603,2021-10-03T19:24:11+0000;0444,T7418,H7920;0445,T745a,H75d1;0544,T73d8,H7159;0545,T7727,H6b38;0644,T762e,H7087;0645,T739f,H7a51;0744,T70c8,H797b;0745,T716e,H8427
34604,2021-10-03T19:24:19+0000;0444,T744d,H7880;0445,T7488,H752e;0544,T7402,H70d1;0545,T7741,H6adc;0644,T7656,H7015;0645,T73ca,H79a4;0744,T70f1,H78be;0745,T7198,H835d
34605,2021-10-03T19:24:28+0000;0444,T7472,H77fa;0445,T74b3,H74cd;0544,T742e,H7063;0545,T7763,H6a98;0644,T7679,H6fb2;0645,T73f2,H7937;0744,T7121,H7826;0745,T71c8,H82af
34606,2021-10-03T19:24:37+0000;0444,T74a2,H7763;0445,T74e0,H741f;0544,T7456,H6fd9;0545,T777f,H6a38;0644,T769c,H6f32;0645,T7417,H78b0;0744,T7154,H778d;0745,T71f6,H81f4
34607,2021-10-03T19:24:46+0000;0444,T74c4,H76ca;0445,T7503,H73a2;0544,T747d,H6f3b;0545,T7793,H69f7;0644,T76b6,H6ec9;0645,T743c,H781f;0744,T717f,H76c2;0745,T7222,H813b
34608,2021-10-03T19:24:54+0000;0444,T74eb,H7654;0445,T7528,H7328;0544,T74a9,H6e89;0545,T77a7,H69a3;0644,T76d3,H6e66;0645,T745f,H779b;0744,T71a6,H761b;0745,T7249,H8056
34609,2021-10-03T19:25:03+0000;0444,T7511,H75af;0445,T754a,H727e;0544,T74c8,H6dfb;0545,T77bd,H6945;0644,T76f3,H6de9;0645,T7487,H76f3;0744,T71ce,H7573;0745,T726e,H7faf
34610,2021-10-03T19:25:12+0000;0444,T7530,H752a;0445,T756b,H71fc;0544,T74e9,H6db8;0545,T77d1,H690b;0644,T770f,H6d76;0645,T74a6,H7673;0744,T71f3,H74d8;0745,T7295,H7f1c
34611,2021-10-03T19:25:21+0000;0444,T7557,H74c5;0445,T758d,H7196;0544,T750a,H6d2c;0545,T77e8,H68d2;0644,T772b,H6d2e;0645,T74cb,H7605;0744,T7220,H7454;0745,T72ba,H7e9b
34612,2021-10-03T19:25:30+0000;0444,T757b,H7454;0445,T75ae,H7114;0544,T752c,H6cc2;0545,T77f4,H6897;0644,T7748,H6cbf;0645,T74f2,H757c;0744,T7245,H739f;0745,T72da,H7dca
34613,2021-10-03T19:25:38+0000;0444,T759e,H73bf;0445,T75d0,H708e;0544,T754c,H6c2e;0545,T780b,H6852;0644,T7764,H6c67;0645,T7513,H74f6;0744,T726b,H731d;0745,T72fc,H7d76
34614,2021-10-03T19:25:47+0000;0444,T75bd,H7359;0445,T75f2,H700e;0544,T756b,H6bde;0545,T7823,H680e;0644,T7778,H6c01;0645,T7531,H7473;0744,T728a,H7289;0745,T7323,H7cca
34615,2021-10-03T19:25:56+0000;0444,T75da,H72d1;0445,T760e,H6f88;0544,T7588,H6b5f;0545,T7832,H67b7;0644,T778c,H6bc0;0645,T754c,H7416;0744,T72ae,H71ff;0745,T7344,H7c48
34616,2021-10-03T19:26:05+0000;0444,T75ed,H7254;0445,T7624,H6f0e;0544,T759f,H6af0;0545,T783c,H6786;0644,T77a3,H6b56;0645,T7567,H738e;0744,T72d3,H7155;0745,T7366,H7b98
34617,2021-10-03T19:26:13+0000;0444,T7612,H71e4;0445,T7640,H6e95;0544,T75bc,H6a8f;0545,T784f,H673c;0644,T77b7,H6aff;0645,T7581,H7328;0744,T72f1,H70df;0745,T7386,H7b09
34618,2021-10-03T19:26:22+0000;0444,T7626,H717b;0445,T7657,H6e34;0544,T75d4,H6a18;0545,T7855,H66ff;0644,T77c9,H6aad;0645,T759a,H72d0;0744,T730e,H705a;0745,T73a1,H7aa1
34619,2021-10-03T19:26:31+0000;0444,T7645,H7106;0445,T7669,H6ddf;0544,T75e8,H69d7;0545,T785e,H66e3;0644,T77da,H6a55;0645,T75b7,H7261;0744,T7328,H6fce;0745,T73b6,H7a45
34620,2021-10-03T19:26:40+0000;0444,T7655,H70a9;0445,T7681,H6d83;0544,T7601,H6997;0545,T786d,H66b8;0644,T77e9,H6a19;0645,T75c6,H71fb;0744,T7349,H6f47;0745,T73d3,H79b8
34621,2021-10-03T19:26:48+0000;0444,T766c,H705e;0445,T7693,H6d39;0544,T7619,H691e;0545,T7879,H668c;0644,T77f8,H69f1;0645,T75e0,H71b7;0744,T7366,H6f11;0745,T73eb,H7965
34622,2021-10-03T19:26:57+0000;0444,T767e,H7034;0445,T76aa,H6d1b;0544,T762d,H6901;0545,T7884,H6670;0644,T780a,H69c0;0645,T75f5,H716c;0744,T738d,H6e87;0745,T740d,H790f
34623,2021-10-03T19:27:06+0000;0444,T7693,H6fd5;0445,T76bf,H6cc9;0544,T7642,H68bd;0545,T788e,H6655;0644,T7818,H6991;0645,T7608,H710f;0744,T73a4,H6df6;0745,T7427,H7872
34624,2021-10-03T19:27:15+0000;0444,T76ab,H6f68;0445,T76d2,H6c56;0544,T7657,H6860;0545,T7897,H6615;0644,T7824,H694b;0645,T761d,H70af;0744,T73bc,H6d98;0745,T743b,H77f4
34625,2021-10-03T19:27:23+0000;0444,T76bc,H6f08;0445,T76e0,H6bfa;0544,T7667,H67fa;0545,T789c,H65f4;0644,T7834,H6906;0645,T7628,H7049;0744,T73cf,H6d33;0745,T744f,H77c2
34626,2021-10-03T19:27:32+0000;0444,T76ce,H6ecc;0445,T76f0,H6bd8;0544,T7679,H67ca;0545,T78a3,H65cc;0644,T783e,H68d3;0645,T763c,H7012;0744,T73e6,H6cda;0745,T7467,H7776
34627,2021-10-03T19:27:41+0000;0444,T76da,H6e84;0445,T76fb,H6b92;0544,T7689,H6764;0545,T78a4,H65cc;0644,T7848,H68b7;0645,T764d,H6fda;0744,T73fa,H6c88;0745,T7479,H7749
34628,2021-10-03T19:27:50+0000;0444,T76ed,H6e4e;0445,T770b,H6b4b;0544,T7695,H674d;0545,T78ad,H65a5;0644,T7854,H6889;0645,T765b,H6f7c;0744,T7411,H6c0e;0745,T7489,H7692
34629,2021-10-03T19:27:58+0000;0444,T76fb,H6e09;0445,T7719,H6b02;0544,T76a2,H66f4;0545,T78b2,H6571;0644,T785d,H684c;0645,T766b,H6f23;0744,T7424,H6bc2;0745,T749d,H7665
34630,2021-10-03T19:28:07+0000;0444,T7702,H6db0;0445,T7727,H6aa2;0544,T76b3,H66b5;0545,T78b7,H6540;0644,T7868,H6807;0645,T767d,H6ec0;0744,T7437,H6b43;0745,T74aa,H75f4
34631,2021-10-03T19:28:16+0000;0444,T7713,H6d64;0445,T7732,H6a6e;0544,T76c2,H6656;0545,T78bc,H650f;0644,T786e,H67cf;0645,T768a,H6e69;0744,T7447,H6ae9;0745,T74b8,H75b7
34632,2021-10-03T19:28:25+0000;0444,T7719,H6cfc;0445,T773c,H6a03;0544,T76cb,H65fe;0545,T78bf,H64e9;0644,T7876,H6799;0645,T7698,H6e0c;0744,T7460,H6a64;0745,T74c9,H7530
34633,2021-10-03T19:28:33+0000;0444,T771a,H6cdd;0445,T773f,H69d5;0544,T76d5,H65e4;0545,T78bd,H64c1;0644,T787a,H6762;0645,T76a7,H6dc5;0744,T7475,H6a16;0745,T74db,H74fe
34634,2021-10-03T19:28:42+0000;0444,T7728,H6c96;0445,T774d,H699f;0544,T76df,H658e;0545,T78c5,H648c;0644,T787e,H673b;0645,T76af,H6d79;0744,T7483,H69ad;0745,T74ec,H7486
34635,2021-10-03T19:28:51+0000;0444,T7735,H6c5c;0445,T7755,H695b;0544,T76e5,H655d;0545,T78c4,H6470;0644,T7883,H66ff;0645,T76b7,H6d2f;0744,T7491,H695c;0745,T74fd,H7444
34636,2021-10-03T19:29:00+0000;0444,T773d,H6c1c;0445,T775c,H6912;0544,T76f1,H651e;0545,T78c6,H6452;0644,T7884,H66c3;0645,T76bf,H6cdd;0744,T749c,H68ed;0745,T7507,H73b3
34637,2021-10-03T19:29:09+0000;0444,T7748,H6bc6;0445,T7767,H68d0;0544,T76fa,H64c4;0545,T78c7,H6423;0644,T788b,H6695;0645,T76c6,H6ca2;0744,T74a6,H688b;0745,T7512,H7350
34638,2021-10-03T19:29:17+0000;0444,T7754,H6b83;0445,T7770,H6891;0544,T7701,H6478;0545,T78c5,H6401;0644,T788c,H6664;0645,T76cf,H6c54;0744,T74b1,H685d;0745,T751a,H731d
34639,2021-10-03T19:29:26+0000;0444,T7754,H6b2e;0445,T7774,H684c;0544,T7706,H643f;0545,T78c1,H63e3;0644,T788d,H6641;0645,T76d5,H6c2b;0744,T74c2,H6811;0745,T7522,H7300
34640,2021-10-03T19:29:35+0000;0444,T775a,H6b0b;0445,T777a,H6824;0544,T770c,H644b;0545,T78bf,H63d9;0644,T788f,H662f;0645,T76dd,H6bff;0744,T74d2,H67b2;0745,T752f,H72c2
34641,2021-10-03T19:29:44+0000;0444,T7764,H6aeb;0445,T777d,H67ff;0544,T7711,H63f1;0545,T78ba,H63d8;0644,T7894,H660e;0645,T76e1,H6bc5;0744,T74df,H6770;0745,T7538,H7269
34642,2021-10-03T19:29:52+0000;0444,T7766,H6ac8;0445,T777d,H67fb;0544,T7713,H6410;0545,T78b6,H63c6;0644,T7895,H65e0;0645,T76eb,H6b7f;0744,T74e8,H6730;0745,T753f,H722d
34643,2021-10-03T19:30:01+0000;0444,T776c,H6a8d;0445,T7784,H67b1;0544,T7717,H63cb;0545,T78b4,H63b1;0644,T7895,H65c2;0645,T76ec,H6b52;0744,T74ee,H66d7;0745,T7549,H71cc
34644,2021-10-03T19:30:10+0000;0444,T7770,H6a5a;0445,T7787,H678b;0544,T7718,H6388;0545,T78b3,H6399;0644,T7893,H65b0;0645,T76ed,H6b31;0744,T74f8,H66bc;0745,T7553,H71a8
34645,2021-10-03T19:30:19+0000;0444,T7772,H6a31;0445,T7785,H6752;0544,T771c,H6357;0545,T78af,H637f;0644,T7895,H657e;0645,T76f2,H6b02;0744,T74ff,H6669;0745,T755b,H7138
34646,2021-10-03T19:30:27+0000;0444,T7771,H69ff;0445,T7785,H673f;0544,T771f,H6350;0545,T78ad,H6374;0644,T7895,H6573;0645,T76f7,H6add;0744,T7507,H6658;0745,T7563,H713d
34647,2021-10-03T19:30:36+0000;0444,T7773,H69f2;0445,T7789,H6726;0544,T7720,H634b;0545,T78aa,H6358;0644,T7894,H655d;0645,T76fa,H6ac1;0744,T7511,H661a;0745,T756e,H7124
34648,2021-10-03T19:30:45+0000;0444,T7776,H69da;0445,T778b,H671b;0544,T7723,H630d;0545,T78a5,H6369;0644,T7893,H655c;0645,T76fe,H6aa8;0744,T751b,H65da;0745,T7572,H70d7
34649,2021-10-03T19:30:54+0000;0444,T7778,H69ce;0445,T778b,H6708;0544,T7720,H62fd;0545,T789a,H636c;0644,T7892,H6543;0645,T7700,H6a89;0744,T7524,H65bf;0745,T7575,H70d3
34650,2021-10-03T19:31:02+0000;0444,T7778,H69b8;0445,T7788,H6703;0544,T7724,H62f2;0545,T7896,H6378;0644,T7891,H6537;0645,T7703,H6a69;0744,T752b,H6591;0745,T7579,H7092
34651,2021-10-03T19:31:11+0000;0444,T777c,H699c;0445,T778b,H66cf;0544,T7723,H62d8;0545,T788f,H635f;0644,T788b,H6524;0645,T7704,H6a3f;0744,T752d,H6569;0745,T757b,H705b
34652,2021-10-03T19:31:20+0000;0444,T7778,H6971;0445,T7789,H66b9;0544,T7724,H62c1;0545,T7888,H6360;0644,T788a,H651e;0645,T7707,H6a2c;0744,T7531,H6548;0745,T757e,H7069
34653,2021-10-03T19:31:29+0000;0444,T7778,H695d;0445,T7785,H66bd;0544,T7721,H62b3;0545,T7884,H636d;0644,T7886,H6510;0645,T770b,H6a10;0744,T753a,H6520;0745,T7583,H703e
34654,2021-10-03T19:31:37+0000;0444,T7775,H696f;0445,T7782,H66b2;0544,T771c,H62b5;0545,T787f,H6367;0644,T7886,H6501;0645,T770a,H69f8;0744,T7542,H64f4;0745,T7589,H6ff6
34655,2021-10-03T19:31:46+0000;0444,T7775,H695a;0445,T7783,H66ba;0544,T771e,H62cb;0545,T7879,H6372;0644,T787f,H650e;0645,T7708,H69e7;0744,T7544,H64c3;0745,T758d,H6fd1
34656,2021-10-03T19:31:55+0000;0444,T7774,H692f;0445,T7780,H669f;0544,T7719,H62ac;0545,T7872,H635d;0644,T7875,H650e;0645,T7705,H69e0;0744,T7544,H64ba;0745,T758c,H6fc6
34657,2021-10-03T19:32:04+0000;0444,T7771,H6928;0445,T7779,H668c;0544,T7715,H62af;0545,T786c,H6357;0644,T7874,H6502;0645,T7705,H69b4;0744,T754b,H6488;0745,T758c,H6f8f
34658,2021-10-03T19:32:12+0000;0444,T776f,H691d;0445,T7775,H666d;0544,T7712,H626e;0545,T7866,H635e;0644,T786d,H64ff;0645,T7702,H69ac;0744,T754a,H6466;0745,T758e,H6f96
34659,2021-10-03T19:32:21+0000;0444,T776b,H6905;0445,T7774,H6668;0544,T770c,H6283;0545,T7859,H6368;0644,T7865,H64fb;0645,T7701,H69a5;0744,T754a,H6454;0745,T758e,H6f89
34660,2021-10-03T19:32:30+0000;0444,T7768,H6904;0445,T7771,H6663;0544,T770c,H625a;0545,T7854,H636a;0644,T7862,H64f0;0645,T76ff,H6998;0744,T754e,H6421;0745,T7590,H6f40
34661,2021-10-03T19:32:39+0000;0444,T7761,H68e8;0445,T776a,H6654;0544,T7706,H626f;0545,T784a,H636f;0644,T785e,H64d8;0645,T76fb,H696b;0744,T7552,H63f3;0745,T7592,H6f1c
34662,2021-10-03T19:32:48+0000;0444,T775d,H68dc;0445,T7767,H663d;0544,T7701,H6256;0545,T7841,H635d;0644,T7856,H64d3;0645,T76fa,H6952;0744,T7554,H63b8;0745,T7593,H6ed1
34663,2021-10-03T19:32:56+0000;0444,T775a,H68ca;0445,T7763,H662f;0544,T76ff,H6240;0545,T783a,H6358;0644,T7850,H64c9;0645,T76f6,H6949;0744,T7554,H63b9;0745,T7594,H6edf
34664,2021-10-03T19:33:05+0000;0444,T7758,H68d4;0445,T775f,H662a;0544,T76f9,H624a;0545,T7833,H636a;0644,T7849,H64c3;0645,T76f5,H693b;0744,T7554,H639b;0745,T7594,H6ebc
34665,2021-10-03T19:33:14+0000;0444,T7751,H68ba;0445,T7757,H6622;0544,T76f3,H6236;0545,T782a,H6368;0644,T783f,H64c7;0645,T76ee,H6929;0744,T7555,H637c;0745,T758f,H6ea4
34666,2021-10-03T19:33:23+0000;0444,T774c,H68aa;0445,T7750,H6604;0544,T76ee,H6203;0545,T7820,H6362;0644,T7838,H64c7;0645,T76e7,H691c;0744,T7554,H634f;0745,T758d,H6e7c
34667,2021-10-03T19:33:31+0000;0444,T7742,H689c;0445,T7748,H6612;0544,T76e6,H6222;0545,T7817,H6365;0644,T782f,H64c0;0645,T76e0,H6912;0744,T7551,H6341;0745,T758b,H6e74
34668,2021-10-03T19:33:40+0000;0444,T773f,H68a2;0445,T7744,H65f7;0544,T76e4,H61e1;0545,T780b,H6361;0644,T7825,H64be;0645,T76dc,H68f3;0744,T754e,H6326;0745,T7589,H6e51
34669,2021-10-03T19:33:49+0000;0444,T7737,H6888;0445,T773a,H6603;0544,T76dd,H61d9;0545,T7801,H6376;0644,T781e,H64c0;0645,T76d6,H68e8;0744,T754c,H630b;0745,T7584,H6e2b
34670,2021-10-03T19:33:58+0000;0444,T7730,H688d;0445,T7730,H65f4;0544,T76d5,H6201;0545,T77f4,H6372;0644,T7816,H64bc;0645,T76d5,H68e3;0744,T754b,H62ef;0745,T7580,H6e15
34671,2021-10-03T19:34:06+0000;0444,T772a,H6862;0445,T772e,H65df;0544,T76d0,H61ca;0545,T77ec,H636a;0644,T780e,H64b4;0645,T76cc,H68c5;0744,T754a,H62d0;0745,T757c,H6e12
34672,2021-10-03T19:34:15+0000;0444,T7722,H686e;0445,T7725,H65ea;0544,T76c9,H61d6;0545,T77df,H637c;0644,T7806,H64b0;0645,T76cb,H68c9;0744,T7549,H62bb;0745,T757f,H6e00
34673,2021-10-03T19:34:24+0000;0444,T771d,H687e;0445,T7721,H65ed;0544,T76c3,H61de;0545,T77d8,H638a;0644,T77fd,H64b6;0645,T76c3,H68bc;0744,T7549,H62af;0745,T7579,H6df5
34674,2021-10-03T19:34:33+0000;0444,T7715,H6877;0445,T7717,H65fd;0544,T76bc,H61f2;0545,T77cd,H6387;0644,T77f4,H64c2;0645,T76bc,H68ce;0744,T7548,H62b7;0745,T7578,H6e11
34675,2021-10-03T19:34:41+0000;0444,T7710,H6878;0445,T7710,H65f5;0544,T76b4,H61da;0545,T77c5,H6395;0644,T77e7,H64da;0645,T76b8,H68c9;0744,T7546,H62ba;0745,T7577,H6e1f
34676,2021-10-03T19:34:50+0000;0444,T7706,H687a;0445,T7708,H65f7;0544,T76a8,H61cf;0545,T77bb,H63ab;0644,T77de,H64e3;0645,T76b2,H68bf;0744,T7545,H6288;0745,T7573,H6dc4
34677,2021-10-03T19:34:59+0000;0444,T76fd,H6885;0445,T7701,H65f2;0544,T76a2,H61fd;0545,T77b0,H63b5;0644,T77d5,H64dd;0645,T76aa,H68ad;0744,T7541,H6275;0745,T756f,H6dc2
34678,2021-10-03T19:35:08+0000;0444,T76f1,H6885;0445,T76f7,H65e7;0544,T769a,H61f0;0545,T77a6,H63b7;0644,T77cc,H64e4;0645,T76a4,H68b1;0744,T753d,H625b;0745,T7568,H6d91
34679,2021-10-03T19:35:17+0000;0444,T76eb,H6893;0445,T76ed,H65fc;0544,T7692,H61f8;0545,T779c,H63b7;0644,T77c3,H64e2;0645,T769f,H68a4;0744,T7539,H6249;0745,T7565,H6d86
34680,2021-10-03T19:35:25+0000;0444,T76e3,H688e;0445,T76e1,H660c;0544,T7686,H622f;0545,T778d,H63d8;0644,T77b6,H64ee;0645,T7694,H68ae;0744,T7534,H624c;0745,T755b,H6d7d
34681,2021-10-03T19:35:34+0000;0444,T76db,H689e;0445,T76d8,H661b;0544,T767b,H6211;0545,T7783,H63ec;0644,T77ae,H64fd;0645,T768e,H68be;0744,T752e,H624b;0745,T7558,H6d91
34682,2021-10-03T19:35:43+0000;0444,T76d3,H6893;0445,T76d1,H661a;0544,T7674,H620c;0545,T7777,H63e6;0644,T77a3,H6506;0645,T7683,H68b9;0744,T7529,H6254;0745,T7557,H6da1
