1764,2021-10-11T15:08:51+0000;0444,T699a,H6534;0445,T6985,H630d;0544,T6983,H5c15;0545,T6987,H62f8;0644,T692c,H66e3;0645,T6967,H65da;0744,T6971,H5a08;0745,T697a,H6676
1780,2021-10-11T15:13:03+0000;0444,T6882,H687a;0445,T687b,H661d;0544,T6878,H5ede;0545,T687c,H65f8;0644,T682d,H69d6;0645,T6867,H68dc;0744,T6862,H5cd2;0745,T6871,H697a
1781,2021-10-11T15:13:19+0000;0444,T6873,H68ae;0445,T686b,H664d;0544,T6867,H5f0c;0545,T686c,H662e;0644,T681f,H6a08;0645,T6858,H690b;0744,T6856,H5cee;0745,T6863,H69a2
1782,2021-10-11T15:13:34+0000;0444,T6862,H68db;0445,T685d,H667b;0544,T6859,H5f39;0545,T685f,H6655;0644,T6814,H6a25;0645,T684c,H6935;0744,T6849,H5d24;0745,T6856,H69cb
1783,2021-10-11T15:13:50+0000;0444,T6854,H68fe;0445,T684f,H669f;0544,T684a,H5f54;0545,T6853,H667d;0644,T6803,H6a58;0645,T683a,H695c;0744,T6838,H5d3e;0745,T6847,H69f3
1784,2021-10-11T15:14:06+0000;0444,T6846,H6933;0445,T683d,H66cc;0544,T683e,H5f85;0545,T6846,H66a9;0644,T67f5,H6a83;0645,T682f,H6982;0744,T682c,H5d67;0745,T6839,H6a19
1785,2021-10-11T15:14:22+0000;0444,T6838,H6957;0445,T6831,H66f6;0544,T682e,H5fa7;0545,T6836,H66cd;0644,T67e9,H6aa6;0645,T6823,H69b3;0744,T681d,H5d89;0745,T682c,H6a4c
1786,2021-10-11T15:14:37+0000;0444,T6828,H698b;0445,T6823,H6729;0544,T6821,H5fd2;0545,T6828,H66f5;0644,T67dd,H6acd;0645,T6816,H69d2;0744,T6811,H5dab;0745,T6820,H6a71
1787,2021-10-11T15:14:53+0000;0444,T681b,H69b4;0445,T6817,H674f;0544,T6816,H5ff7;0545,T681a,H6722;0644,T67d0,H6aec;0645,T6806,H69fc;0744,T6801,H5ddc;0745,T6815,H6a95
1788,2021-10-11T15:15:09+0000;0444,T680e,H69d7;0445,T680a,H6771;0544,T6806,H6029;0545,T680e,H6749;0644,T67c3,H6b17;0645,T67fc,H6a1e;0744,T67f5,H5df7;0745,T6806,H6ab8
1789,2021-10-11T15:15:25+0000;0444,T6800,H6a00;0445,T67f7,H679c;0544,T67f7,H6045;0545,T67ff,H6771;0644,T67b6,H6b3b;0645,T67eb,H6a50;0744,T67e7,H5e20;0745,T67f7,H6ae2
1790,2021-10-11T15:15:40+0000;0444,T67f2,H6a32;0445,T67f0,H67c7;0544,T67eb,H6065;0545,T67f4,H6797;0644,T67ac,H6b6c;0645,T67e1,H6a73;0744,T67d7,H5e41;0745,T67ec,H6b04
1791,2021-10-11T15:15:56+0000;0444,T67e6,H6a52;0445,T67e4,H67ed;0544,T67dd,H6080;0545,T67e9,H67b9;0644,T679f,H6b85;0645,T67d2,H6a97;0744,T67cd,H5e63;0745,T67de,H6b2e
1792,2021-10-11T15:16:12+0000;0444,T67d9,H6a81;0445,T67d7,H680d;0544,T67d0,H60ad;0545,T67da,H67de;0644,T6793,H6bae;0645,T67c8,H6abe;0744,T67c1,H5e87;0745,T67d3,H6b51
1793,2021-10-11T15:16:28+0000;0444,T67cd,H6aa4;0445,T67cc,H683d;0544,T67c5,H60c7;0545,T67cd,H6806;0644,T6786,H6bd1;0645,T67ba,H6ae2;0744,T67b4,H5ea8;0745,T67c8,H6b75
1794,2021-10-11T15:16:43+0000;0444,T67bf,H6ac7;0445,T67bb,H6855;0544,T67b9,H60eb;0545,T67c2,H6821;0644,T677c,H6bfc;0645,T67ae,H6b02;0744,T67a8,H5ecc;0745,T67bd,H6b92
1795,2021-10-11T15:16:59+0000;0444,T67b0,H6af3;0445,T67af,H6878;0544,T67ad,H610e;0545,T67b5,H684d;0644,T6770,H6c16;0645,T67a3,H6b2d;0744,T679c,H5ef4;0745,T67b0,H6bbf
1796,2021-10-11T15:17:15+0000;0444,T67a8,H6b16;0445,T67a4,H689e;0544,T67a2,H612e;0545,T67ab,H686c;0644,T6763,H6c3c;0645,T6799,H6b4f;0744,T6791,H5f0a;0745,T67a3,H6bdf
1797,2021-10-11T15:17:31+0000;0444,T679b,H6b40;0445,T6799,H68cf;0544,T6795,H6152;0545,T679c,H6898;0644,T675a,H6c63;0645,T678e,H6b70;0744,T6785,H5f26;0745,T6797,H6bfb
1798,2021-10-11T15:17:46+0000;0444,T6790,H6b65;0445,T678d,H68ea;0544,T6787,H6171;0545,T6792,H68b3;0644,T6750,H6c84;0645,T6784,H6b88;0744,T6778,H5f48;0745,T678b,H6c1f
1799,2021-10-11T15:18:02+0000;0444,T6781,H6b86;0445,T6783,H6905;0544,T677e,H618e;0545,T6786,H68ea;0644,T6742,H6ca9;0645,T677a,H6bb1;0744,T6770,H5f66;0745,T6781,H6c40
1800,2021-10-11T15:18:18+0000;0444,T6776,H6bb2;0445,T6776,H6930;0544,T6771,H61b2;0545,T677b,H6900;0644,T6739,H6cc7;0645,T676e,H6bcf;0744,T6760,H5f7f;0745,T6778,H6c60
1801,2021-10-11T15:18:34+0000;0444,T676d,H6bd2;0445,T676d,H694e;0544,T6764,H61cf;0545,T676f,H6925;0644,T6730,H6ce7;0645,T6766,H6bf5;0744,T6756,H5fab;0745,T676b,H6c83
1802,2021-10-11T15:18:50+0000;0444,T6760,H6bf3;0445,T6761,H6971;0544,T6759,H61ea;0545,T6765,H6947;0644,T6725,H6cfd;0645,T675a,H6c15;0744,T6749,H5fc2;0745,T675f,H6ca3
1803,2021-10-11T15:19:05+0000;0444,T6753,H6c15;0445,T6756,H6990;0544,T674e,H620f;0545,T675b,H6966;0644,T671c,H6d22;0645,T674f,H6c30;0744,T673b,H5fd6;0745,T6758,H6cc9
1804,2021-10-11T15:19:21+0000;0444,T6749,H6c3a;0445,T674d,H69ac;0544,T6742,H6229;0545,T6751,H6980;0644,T6711,H6d44;0645,T6743,H6c59;0744,T6732,H5ff6;0745,T674d,H6ce8
1805,2021-10-11T15:19:37+0000;0444,T673e,H6c51;0445,T6740,H69d0;0544,T6736,H6242;0545,T6745,H699a;0644,T6706,H6d60;0645,T673b,H6c6b;0744,T6726,H6017;0745,T6741,H6d0b
1806,2021-10-11T15:19:53+0000;0444,T6733,H6c79;0445,T6736,H69f5;0544,T672b,H626c;0545,T673b,H69c2;0644,T66fd,H6d7e;0645,T6731,H6c8e;0744,T671c,H602a;0745,T6737,H6d26
1807,2021-10-11T15:20:08+0000;0444,T6727,H6c99;0445,T672d,H6a0d;0544,T6723,H6282;0545,T6731,H69dc;0644,T66f5,H6d9c;0645,T6727,H6cae;0744,T6713,H604f;0745,T672f,H6d45
1808,2021-10-11T15:20:24+0000;0444,T671e,H6cbb;0445,T6722,H6a31;0544,T6717,H62a1;0545,T6725,H6a01;0644,T66e9,H6dbf;0645,T671d,H6cc5;0744,T6709,H605f;0745,T6723,H6d5f
1809,2021-10-11T15:20:40+0000;0444,T6712,H6cd7;0445,T6717,H6a4f;0544,T670c,H62ae;0545,T671d,H6a1c;0644,T66e0,H6dd9;0645,T6713,H6ce7;0744,T66ff,H6082;0745,T6719,H6d7f
1810,2021-10-11T15:20:56+0000;0444,T6709,H6cfa;0445,T670e,H6a6b;0544,T6705,H62d5;0545,T6713,H6a40;0644,T66db,H6dec;0645,T670c,H6d06;0744,T66f3,H6093;0745,T6711,H6d9f
1811,2021-10-11T15:21:11+0000;0444,T66fd,H6d1c;0445,T6703,H6a8b;0544,T66fc,H62ed;0545,T6707,H6a55;0644,T66cf,H6e04;0645,T66ff,H6d22;0744,T66ec,H60b1;0745,T6706,H6db7
1812,2021-10-11T15:21:27+0000;0444,T66f6,H6d38;0445,T66fb,H6aa5;0544,T66f3,H6303;0545,T6700,H6a74;0644,T66c8,H6e23;0645,T66f6,H6d35;0744,T66df,H60d2;0745,T66fc,H6dcf
1813,2021-10-11T15:21:43+0000;0444,T66eb,H6d5a;0445,T66f1,H6ac8;0544,T66e8,H6323;0545,T66f5,H6a9b;0644,T66bd,H6e39;0645,T66ef,H6d52;0744,T66d9,H60e8;0745,T66f5,H6de9
1814,2021-10-11T15:21:59+0000;0444,T66e2,H6d76;0445,T66ea,H6ade;0544,T66df,H6339;0545,T66ec,H6ab1;0644,T66b5,H6e5a;0645,T66e5,H6d6d;0744,T66d0,H6104;0745,T66eb,H6e09
1815,2021-10-11T15:22:14+0000;0444,T66dc,H6d94;0445,T66e0,H6aff;0544,T66d6,H6356;0545,T66e2,H6acf;0644,T66ab,H6e6f;0645,T66de,H6d90;0744,T66c4,H611d;0745,T66e0,H6e19
1816,2021-10-11T15:22:30+0000;0444,T66cf,H6dad;0445,T66d6,H6b15;0544,T66cc,H636e;0545,T66da,H6ae1;0644,T66a4,H6e90;0645,T66d5,H6da5;0744,T66bc,H6132;0745,T66d9,H6e41
1817,2021-10-11T15:22:46+0000;0444,T66c7,H6dce;0445,T66ce,H6b2f;0544,T66c4,H6381;0545,T66d0,H6b08;0644,T669c,H6ea9;0645,T66c9,H6db7;0744,T66b4,H614f;0745,T66cf,H6e5d
1818,2021-10-11T15:23:02+0000;0444,T66be,H6dec;0445,T66c4,H6b42;0544,T66bb,H639e;0545,T66c8,H6b18;0644,T6692,H6ec3;0645,T66bf,H6ddc;0744,T66ad,H6160;0745,T66c7,H6e70
1819,2021-10-11T15:23:17+0000;0444,T66b5,H6e01;0445,T66bb,H6b5f;0544,T66b3,H63b9;0545,T66bd,H6b37;0644,T668a,H6ed9;0645,T66b8,H6def;0744,T66a5,H6177;0745,T66c0,H6e85
1820,2021-10-11T15:23:33+0000;0444,T66ad,H6e25;0445,T66b1,H6b7b;0544,T66aa,H63d1;0545,T66b6,H6b51;0644,T6681,H6ef1;0645,T66b1,H6e12;0744,T669b,H6184;0745,T66b7,H6e9f
1821,2021-10-11T15:23:49+0000;0444,T66a3,H6e3f;0445,T66ab,H6b9c;0544,T66a1,H63ec;0545,T66ad,H6b70;0644,T667c,H6f11;0645,T66a6,H6e27;0744,T6694,H61a1;0745,T66b0,H6ec1
1822,2021-10-11T15:24:05+0000;0444,T669a,H6e58;0445,T66a2,H6ba6;0544,T669a,H6408;0545,T66a0,H6b89;0644,T6673,H6f2a;0645,T669c,H6e39;0744,T668a,H61b6;0745,T66a4,H6ed3
1823,2021-10-11T15:24:20+0000;0444,T6692,H6e74;0445,T6697,H6bca;0544,T6692,H641c;0545,T669a,H6b9d;0644,T666a,H6f48;0645,T6695,H6e54;0744,T6685,H61d2;0745,T669c,H6ef0
1824,2021-10-11T15:24:36+0000;0444,T6689,H6e8f;0445,T6693,H6be6;0544,T6687,H6433;0545,T6690,H6bbe;0644,T6663,H6f56;0645,T668d,H6e68;0744,T667b,H61e1;0745,T6694,H6eff
1825,2021-10-11T15:24:52+0000;0444,T6681,H6eac;0445,T6689,H6bfc;0544,T6681,H6447;0545,T6688,H6bd4;0644,T665b,H6f6b;0645,T6686,H6e87;0744,T6672,H61fb;0745,T6689,H6f1f
1826,2021-10-11T15:25:08+0000;0444,T6679,H6eba;0445,T6682,H6c21;0544,T667b,H6460;0545,T667f,H6bef;0644,T6652,H6f85;0645,T667f,H6e9a;0744,T666a,H620f;0745,T6681,H6f2f
1827,2021-10-11T15:25:24+0000;0444,T6673,H6ee2;0445,T6677,H6c37;0544,T6671,H646b;0545,T6677,H6c01;0644,T664a,H6f8f;0645,T6677,H6eb3;0744,T6661,H6226;0745,T6678,H6f4a
1828,2021-10-11T15:25:39+0000;0444,T6667,H6efb;0445,T666f,H6c46;0544,T6668,H6487;0545,T6671,H6c18;0644,T6643,H6faa;0645,T666f,H6ecc;0744,T665d,H623a;0745,T6671,H6f69
1829,2021-10-11T15:25:55+0000;0444,T6660,H6f07;0445,T666b,H6c57;0544,T6660,H6496;0545,T6668,H6c2d;0644,T663e,H6fc2;0645,T6667,H6edc;0744,T6654,H6255;0745,T6668,H6f78
1830,2021-10-11T15:26:11+0000;0444,T6659,H6f26;0445,T6660,H6c79;0544,T665a,H64b2;0545,T665e,H6c47;0644,T6634,H6fe1;0645,T6660,H6ef8;0744,T664d,H6264;0745,T6661,H6f8d
1831,2021-10-11T15:26:27+0000;0444,T6652,H6f39;0445,T665c,H6c83;0544,T6652,H64bb;0545,T6658,H6c5e;0644,T662a,H6fef;0645,T665c,H6f0b;0744,T6645,H627a;0745,T6659,H6fa4
1832,2021-10-11T15:26:42+0000;0444,T664a,H6f51;0445,T6652,H6ca2;0544,T6647,H64d9;0545,T6652,H6c7e;0644,T6625,H7000;0645,T6653,H6f25;0744,T663b,H628e;0745,T6653,H6fb1
1833,2021-10-11T15:26:58+0000;0444,T6640,H6f64;0445,T664a,H6cbf;0544,T6642,H64ee;0545,T6648,H6c91;0644,T661d,H7014;0645,T664d,H6f3a;0744,T6637,H629f;0745,T664b,H6fc4
1834,2021-10-11T15:27:14+0000;0444,T663a,H6f7b;0445,T6643,H6ccf;0544,T663a,H64ff;0545,T6643,H6caf;0644,T6616,H7022;0645,T6648,H6f4c;0744,T6630,H62a9;0745,T6643,H6fde
1835,2021-10-11T15:27:30+0000;0444,T6634,H6f96;0445,T663d,H6cec;0544,T6634,H6511;0545,T663b,H6cc0;0644,T6610,H7035;0645,T6640,H6f57;0744,T6629,H62c2;0745,T663e,H6ff1
1836,2021-10-11T15:27:45+0000;0444,T662b,H6faa;0445,T6636,H6cfb;0544,T662c,H6527;0545,T6634,H6cd0;0644,T6607,H704d;0645,T6639,H6f72;0744,T6621,H62d1;0745,T6636,H7002
1837,2021-10-11T15:28:01+0000;0444,T6626,H6fbe;0445,T662f,H6d14;0544,T6625,H653e;0545,T662c,H6ce3;0644,T6600,H7060;0645,T6634,H6f7b;0744,T661b,H62e8;0745,T662f,H7013
1838,2021-10-11T15:28:17+0000;0444,T661f,H6fd0;0445,T6625,H6d33;0544,T661e,H6552;0545,T6626,H6cf7;0644,T65fa,H7068;0645,T662c,H6f94;0744,T6612,H62f4;0745,T6629,H7023
1839,2021-10-11T15:28:33+0000;0444,T6616,H6fe6;0445,T661f,H6d48;0544,T6618,H6568;0545,T661e,H6d0d;0644,T65f6,H707e;0645,T6626,H6fa1;0744,T660f,H630a;0745,T6622,H7038
1840,2021-10-11T15:28:48+0000;0444,T6610,H6ff8;0445,T6619,H6d4b;0544,T6611,H656e;0545,T6618,H6d1f;0644,T65ef,H7092;0645,T661f,H6fb4;0744,T6607,H631e;0745,T661c,H7043
1841,2021-10-11T15:29:04+0000;0444,T6607,H700d;0445,T6611,H6d63;0544,T660c,H6584;0545,T6611,H6d33;0644,T65e8,H70a2;0645,T6619,H6fc5;0744,T65ff,H632e;0745,T6613,H7057
1842,2021-10-11T15:29:20+0000;0444,T6600,H701b;0445,T660a,H6d7d;0544,T6604,H6593;0545,T660a,H6d4a;0644,T65e1,H70ad;0645,T6612,H6fe2;0744,T65f8,H6342;0745,T660f,H706a
1843,2021-10-11T15:29:36+0000;0444,T65fc,H702e;0445,T6604,H6d8f;0544,T65fc,H65a6;0545,T6605,H6d5e;0644,T65dc,H70ca;0645,T660b,H6feb;0744,T65f4,H6349;0745,T6609,H7083
1844,2021-10-11T15:29:51+0000;0444,T65f5,H7043;0445,T65fc,H6da2;0544,T65fa,H65ba;0545,T65ff,H6d6d;0644,T65d7,H70d5;0645,T6606,H6ffb;0744,T65ed,H635c;0745,T6601,H708a
1845,2021-10-11T15:30:07+0000;0444,T65ec,H7053;0445,T65f4,H6db6;0544,T65f2,H65ce;0545,T65fa,H6d7f;0644,T65d2,H70e6;0645,T6602,H700b;0744,T65e6,H6370;0745,T65fa,H709e
1846,2021-10-11T15:30:23+0000;0444,T65e7,H706a;0445,T65ed,H6dc8;0544,T65e9,H65e4;0545,T65f0,H6d9a;0644,T65ca,H70f2;0645,T65fb,H7013;0744,T65df,H637b;0745,T65f6,H70aa
1847,2021-10-11T15:30:39+0000;0444,T65df,H707c;0445,T65e6,H6de5;0544,T65e5,H65ec;0545,T65eb,H6db1;0644,T65c7,H710a;0645,T65f5,H7023;0744,T65db,H638d;0745,T65f2,H70b7
1848,2021-10-11T15:30:54+0000;0444,T65db,H708e;0445,T65dd,H6df4;0544,T65e1,H6602;0545,T65e6,H6dbe;0644,T65be,H710c;0645,T65f0,H7033;0744,T65d7,H6394;0745,T65e6,H70c7
1849,2021-10-11T15:31:10+0000;0444,T65d4,H7099;0445,T65d7,H6e05;0544,T65da,H6611;0545,T65de,H6dcc;0644,T65bb,H711e;0645,T65eb,H7040;0744,T65d0,H63b1;0745,T65e2,H70da
1850,2021-10-11T15:31:26+0000;0444,T65ce,H70ac;0445,T65d2,H6e1c;0544,T65d4,H6624;0545,T65dc,H6ddc;0644,T65b6,H7122;0645,T65e7,H7047;0744,T65c9,H63be;0745,T65de,H70e4
1851,2021-10-11T15:31:42+0000;0444,T65c6,H70bc;0445,T65cc,H6e2a;0544,T65cc,H662d;0545,T65d2,H6de7;0644,T65ad,H7136;0645,T65e0,H7065;0744,T65c4,H63c9;0745,T65d8,H70f7
1852,2021-10-11T15:31:58+0000;0444,T65c2,H70d0;0445,T65c6,H6e3f;0544,T65c6,H6641;0545,T65cc,H6e00;0644,T65ab,H7147;0645,T65dc,H706a;0744,T65bd,H63dc;0745,T65d3,H7110
1853,2021-10-11T15:32:13+0000;0444,T65bc,H70de;0445,T65c1,H6e4d;0544,T65c0,H664b;0545,T65c9,H6e0d;0644,T65a6,H7156;0645,T65d6,H7075;0744,T65b7,H63e4;0745,T65cb,H7119
1854,2021-10-11T15:32:29+0000;0444,T65b5,H70ed;0445,T65bc,H6e5b;0544,T65bb,H665e;0545,T65c2,H6e23;0644,T659f,H7160;0645,T65d1,H7088;0744,T65b3,H63fa;0745,T65c6,H712a
1855,2021-10-11T15:32:45+0000;0444,T65b0,H70f6;0445,T65b4,H6e69;0544,T65b7,H6669;0545,T65be,H6e37;0644,T659b,H7169;0645,T65cb,H7096;0744,T65ad,H6402;0745,T65c1,H7138
1856,2021-10-11T15:33:01+0000;0444,T65a8,H7109;0445,T65ae,H6e81;0544,T65ae,H667a;0545,T65b6,H6e49;0644,T6592,H717b;0645,T65c7,H709f;0744,T65a7,H640f;0745,T65ba,H7146
1857,2021-10-11T15:33:16+0000;0444,T65a2,H7123;0445,T65a7,H6e94;0544,T65a9,H668c;0545,T65b3,H6e56;0644,T658e,H718e;0645,T65c2,H70b1;0744,T65a3,H641a;0745,T65b9,H7150
1858,2021-10-11T15:33:32+0000;0444,T659c,H712e;0445,T65a2,H6ea4;0544,T65a5,H6693;0545,T65ac,H6e62;0644,T658b,H7195;0645,T65bd,H70ba;0744,T659e,H642c;0745,T65b1,H715e
1859,2021-10-11T15:33:48+0000;0444,T6595,H7137;0445,T659d,H6eb3;0544,T659e,H66a3;0545,T65a5,H6e77;0644,T6583,H71a4;0645,T65b6,H70c2;0744,T6598,H643a;0745,T65ad,H7173
1860,2021-10-11T15:34:04+0000;0444,T658f,H7147;0445,T6595,H6ecb;0544,T659a,H66b4;0545,T65a1,H6e87;0644,T6580,H71bd;0645,T65b1,H70d1;0744,T6593,H6444;0745,T65a6,H7183
1861,2021-10-11T15:34:19+0000;0444,T6589,H7157;0445,T658f,H6ee2;0544,T6594,H66c0;0545,T659c,H6e95;0644,T657b,H71c0;0645,T65b0,H70db;0744,T658e,H6459;0745,T65a1,H7191
1862,2021-10-11T15:34:35+0000;0444,T6583,H716d;0445,T658b,H6ee5;0544,T6590,H66ce;0545,T6596,H6ea1;0644,T6575,H71cf;0645,T65a9,H70ed;0744,T6588,H6462;0745,T659c,H719b
1863,2021-10-11T15:34:51+0000;0444,T657b,H717a;0445,T6585,H6efe;0544,T658b,H66da;0545,T6591,H6eab;0644,T6573,H71df;0645,T65a4,H70f6;0744,T6581,H646f;0745,T6595,H71b0
1864,2021-10-11T15:35:07+0000;0444,T6579,H718d;0445,T657f,H6f09;0544,T6586,H66ec;0545,T658e,H6ebf;0644,T656f,H71de;0645,T659f,H7103;0744,T657e,H6479;0745,T6592,H71b1
1865,2021-10-11T15:35:22+0000;0444,T6571,H7198;0445,T6578,H6f20;0544,T657f,H66f6;0545,T6587,H6ecf;0644,T656b,H71f2;0645,T659b,H710c;0744,T6579,H648c;0745,T658d,H71c2
1866,2021-10-11T15:35:38+0000;0444,T656e,H71a1;0445,T6574,H6f2b;0544,T657d,H6705;0545,T6582,H6ed4;0644,T6566,H71fe;0645,T6597,H711c;0744,T6577,H6492;0745,T6587,H71ce
1867,2021-10-11T15:35:54+0000;0444,T6568,H71b2;0445,T6570,H6f36;0544,T6576,H6711;0545,T657e,H6ee3;0644,T6562,H7207;0645,T6591,H711f;0744,T656f,H649b;0745,T6583,H71de
1868,2021-10-11T15:36:10+0000;0444,T6560,H71bf;0445,T656b,H6f3e;0544,T6574,H6721;0545,T657a,H6ef6;0644,T655d,H7211;0645,T658d,H7132;0744,T6569,H64ad;0745,T657f,H71e7
1869,2021-10-11T15:36:25+0000;0444,T655b,H71cb;0445,T6568,H6f52;0544,T656c,H6728;0545,T6572,H6f09;0644,T6554,H721e;0645,T6589,H7137;0744,T6564,H64ae;0745,T6578,H71f7
1870,2021-10-11T15:36:41+0000;0444,T6555,H71dc;0445,T6560,H6f60;0544,T6566,H6732;0545,T6570,H6f16;0644,T6553,H7225;0645,T6583,H7146;0744,T655f,H64b8;0745,T6575,H7203
1871,2021-10-11T15:36:57+0000;0444,T6552,H71e8;0445,T655c,H6f6f;0544,T6565,H673c;0545,T6568,H6f1a;0644,T6550,H7235;0645,T6581,H714e;0744,T655c,H64ca;0745,T6570,H7211
1872,2021-10-11T15:37:13+0000;0444,T654a,H71f3;0445,T6557,H6f7c;0544,T655e,H674c;0545,T6563,H6f2d;0644,T654b,H723f;0645,T657d,H715d;0744,T6559,H64d8;0745,T656d,H7215
1873,2021-10-11T15:37:28+0000;0444,T6549,H7204;0445,T6552,H6f8f;0544,T6558,H675f;0545,T655f,H6f35;0644,T6545,H724a;0645,T6577,H7161;0744,T6553,H64dd;0745,T6565,H7225
1874,2021-10-11T15:37:44+0000;0444,T6543,H7213;0445,T654e,H6f93;0544,T6556,H6766;0545,T655b,H6f43;0644,T6540,H7254;0645,T6573,H7173;0744,T6550,H64eb;0745,T6563,H7230
1875,2021-10-11T15:38:00+0000;0444,T6540,H7222;0445,T6549,H6fa2;0544,T6550,H676f;0545,T6557,H6f52;0644,T653e,H7260;0645,T6573,H717b;0744,T654a,H64f1;0745,T655c,H723e
1876,2021-10-11T15:38:16+0000;0444,T653b,H7230;0445,T6545,H6faf;0544,T654b,H6776;0545,T6553,H6f62;0644,T6539,H7268;0645,T656d,H717f;0744,T6547,H6502;0745,T6558,H7246
1877,2021-10-11T15:38:32+0000;0444,T6533,H7239;0445,T6541,H6fc0;0544,T6547,H678a;0545,T654f,H6f6a;0644,T6537,H7267;0645,T6569,H718c;0744,T6543,H650a;0745,T6553,H7250
1878,2021-10-11T15:38:47+0000;0444,T6530,H7243;0445,T653c,H6fcf;0544,T6542,H6791;0545,T654b,H6f78;0644,T6533,H7279;0645,T6565,H7194;0744,T653c,H6518;0745,T6550,H7261
1879,2021-10-11T15:39:03+0000;0444,T652e,H7253;0445,T6538,H6fcf;0544,T653f,H67a0;0545,T6545,H6f7c;0644,T652f,H7287;0645,T6562,H71a3;0744,T6538,H651f;0745,T654c,H7269
1880,2021-10-11T15:39:19+0000;0444,T6528,H7261;0445,T6533,H6fdb;0544,T653a,H67b1;0545,T6544,H6f88;0644,T652d,H7290;0645,T655d,H71ac;0744,T6536,H652e;0745,T6548,H7273
1881,2021-10-11T15:39:35+0000;0444,T6522,H7263;0445,T652c,H6fed;0544,T6536,H67ba;0545,T653f,H6f96;0644,T6527,H7295;0645,T6557,H71b7;0744,T652f,H653e;0745,T6546,H727b
1882,2021-10-11T15:39:50+0000;0444,T6520,H7271;0445,T6526,H6ff4;0544,T6532,H67be;0545,T6538,H6fa1;0644,T6523,H72a3;0645,T6552,H71bb;0744,T652b,H653e;0745,T653f,H728b
